TOPIC,CONTENT,DESCRIPTION
Heavenly Bites,"Blueberry Bliss: Sip, Savor, and Boost!
Benefit: Packed with antioxidants- rich, natural goodness in every sip.
 Embrace spring's bloom and fading sun, savor serene moments with a hot drink at ONE TWO TEA.
Savor the spring blooms and fading sun with soothing moments at ONE TWO TEA.

","Experience heaven in every bite of Chicken Burger is featured in this creative.
 An animated video featuring Blueberry soda and its benefits.
 A creative to be designed wishing our audience Happy Doctor's Day!
 A soothing video featuring hot beverages for the monsoon
Here is a creative take on your definition of tea
A creative featuring how mojitos make good times great   A creative illustrating how to enjoy this MONSOON over a  CUP OF TEA in conversation with your Besties.
A creative describing how French Fries at One two tea  is the all-time best snack for your cravings.
A creative to be designed featuring Chicken Wings and posted with a catchy liner added to it.
A creative is designed describing how to kill the hunger with delicious Tandoori Chicken Zinger Burger
A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
 -the brand chimp
----
A creative designed featuring three varieties of Milk Tea.
 -the brand chimp
----
A creative to be designed featuring CHILLI CHEESE MAGGI and a catchy liner added to it.
 -the brand chimp
----
A creative to be designed wishing our audience Happy Father's Day!
 -the brand chimp
----
An animated video to be curated featuring six varieties of items from the menu.
 -the brand chimp
----
Here's a video celebrating endless moments together with our mocktails
 -the brand chimp
----
Animated video featuring dry fruit as a milkshake and a Lassi
 -the brand chimp
----
A creative to be designed featuring the three TidBits -kodi chips, Chicken wings & 
Karampodi Paneer Popcorn
served as a combo.
 -the brand chimp
----
A creative is designed featuring the mentioned snack.
 -the brand chimp
----
Creative designed to choose from the variety of items.
 -the brand chimp
----
A creative is designed showing how to elevate your weekend with Chocolate cold coffee.
 -the brand chimp
----
an animated video to be curated depicting cups of positivity.
 -the brand chimp
----
.
 -the brand chimp
----
A creative to be designed featuring Karampodi Paneer Popcorn &
Paneer Burger for your tasty evenings.
 -the brand chimp
----
A creative to be designed featuring the three Thrills - Chicken  Maggi,
Chicken Strips &
Masala Soda served as a combo.
 -the brand chimp
----
A creative to be designed featuring veg Nuggets- an ideal snack.
 -the brand chimp
----
A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
 -the brand chimp
----
A creative that illustrates the variety of flavoured teas.
 -the brand chimp
----
A creative is designed describing Peri Peri French Fries, Veg Burger and watermelon Mojito -the ultimate trio.
 -the brand chimp
----
Same as reference
 -the brand chimp
----
A creative designed depicting good book with a cup of tea. 
The perfect duo for a cozy, relaxing escape.""
 -the brand chimp
----
A creative to be designed wishing  our audiences a Happy Mother's Day!
 -the brand chimp
----
An animated video to be curated featuring varities of chai.
 -the brand chimp
----
A creative to be designed reminding the audience a quick Coffee break to savor the rich, aromatic flavor of our favorite brew
 -the brand chimp
----
A creative that illustrates how Chai is always a good idea .
 -the brand chimp
----
A creative to be designed featuring 3 Snacks with Refreshing sodas and a catchy liner added to it
 -the brand chimp
----
An animated video to be curated featuring all the Herbal Tea served.
 -the brand chimp
----
A creative to be designed featuring the mentioned snack and posted with a catchy liner added to it.
 -the brand chimp
----
A creative to be designed featuring the three TidBits -French fries, Veg Nuggets, Cheese Balls served as a  combo.
 -the brand chimp
----
An animated video to be curated showcasing the deliciousness of our Burgers.
 -the brand chimp
----
One cup of one two tea ki Chai is all it takes to make you feel completely happy,
 -the brand chimp
----
A creative is made to discover the magic of tea as the ultimate mood lifter for all your problems.
 -the brand chimp
----
A creative will be created that demonstrates how Tea lovers can unwind with our energising tea.
 -the brand chimp
----
A creative to be designed how chai boost to kickstart your day to revitalize your mind and body!
 -the brand chimp
----
An animated video to be curated to stay cool this summer with our most delicious and refreshing mocktails with a catchy caption added to it.
 -the brand chimp
"
Monsoon Special (R),"delete jhuri pakoda and mention

MONSOON MADNESS

item:
PANEER POPCORN
GINGER LEMON TEA
 -the brand chimp
","Make your monsoon flavourful with our Panner pakoda with ginger lemon tea.
 -the brand chimp
"
Independence Day,"Sip, Salute, and Celebrate
HAPPY 77th INDEPENDENCE DAY
 
","A creative to be designed wishing our audience Happy Independence  Day!
"
Recharge ,"one two tea chai
","Recharge your mood with a one two tea ki chai
"
Fulfill your cravings now! (R),Chicken wings,"a creative is designed to Experience heart-skipping delight with our chicken Wings.
 "
Raksha Bandhan,"A Cup of tea toast the unbreakable bond of Rakhi!
","A creative to be designed wishing our audience Happy Raksha Bandhan.
"
Delightful Options,"CHEESE POPS
PANEER BURGER
CHICKEN FRIES
CHICKEN POPCORN
VEG NUGGETS
SCHEZWAN CHICKEN MAGGI
",An animated video showcasing a variety of delicious choices.
Milk Refreshers,"Enjoy sweet & cool
Milk Beverages
","A creative designed featuring the mentioned milk beverages .
"
Delicious Maggi,"IT'S TIME FOR SOME MAGGI
OR
IT'S MAGGI-O-CLOCK
","A creative designed showcasing Maggi as the perfect hunger solution anytime.
	-the brand chimp"
celebration of happiness,"Veg Nuggets
Veg Burger
Instant Coffee","A creative designed featuring  Friends and delicious food.
"
Pure Brew,"Ginger Lemon Tea
No quotes, just great tea.
/ Savor the essence of exceptional tea./Savor the Simplicity","An animated video to be curated featuring Black coffee/Ginger Lemon Tea
"
Burger Bonanza,"Flavorful Bliss in Every Bite
","A creative is designed describing how to kill the hunger with delicious Tandoori Chicken Zinger Burger
"
Tranquilizing hot beverages(R),"Embrace spring's bloom and fading sun, savor serene moments with a hot drink at ONE TWO TEA.
Savor the spring blooms and fading sun with soothing moments at ONE TWO TEA.
one two tea+ green tea+ Lemon tea
","A soothing video featuring hot beverages for the monsoon
"
Flavorful Munch,"Enjoy French Fries, Chicken Popcorn, Chicken Strips and Rain
","A creative to be designed featuring Karampodi Paneer Popcorn &
Paneer Burger for your tasty evenings."
Nutty Fusion,"DRY FRUIT LASSI
DRY FRUIT PREMIUM MILKSHAKE
","Animated video featuring dry fruit as a milkshake and a Lassi
"
love at first bite (R),Chilli Cheese Maggie,"A creative to be designed featuring CHILLI CHEESE MAGGI and a catchy liner added to it.
"
Food Variety,"SCHEZWAN MAGGI
CHEESE BALLS
CHICKEN BURGER","Creative designed to choose from the variety of items.
"
Blueberry Soda,"Blueberry Bliss: Sip, Savor, and Boost!
Benefit: Packed with antioxidants- rich, natural goodness in every sip","An animated video featuring Blueberry soda and its benefits.
"
Cocoa Retreat,"CHOCOLATE COLD COFFEE
","A creative is designed showing how to elevate your weekend with Chocolate cold coffee.
"
Tantalizing Tastes,"CHICKEN WINGS
KARAMPODI PANEER POPCORN
FRENCH FRIES
","A creative to be designed featuring the three TidBits -kodi chips, Chicken wings & 
Karampodi Paneer Popcorn
served as a combo.
"
Creamy Delight,"its not just a shake,its A Glass Full of Goodness
","A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
"
Affordable Excitement,It's a Snack time,"A creative to be designed featuring the three Thrills - Chicken  Maggi,
Chicken Strips &
Masala Soda served as a combo.
"
Father's Day creative,"Treat your dad on Father's Day
","A creative to be designed wishing our audience Happy Father's Day!
"
QR for Review ,"Don’t miss this chance to save big. Scan & Start Now!
","A Creative design with QR for the customers to scan and Give review / follouw doughbits social media for rewards
"
Doughbits Dessert,"Your Breakfast
Incoming call
Accept   Accept
Perfect Breakfast ! 
Waiting for you !
","A Creative of a doughbits on a phone call screen . There is no decline option
"
Alan walker Concert,"The concert may have ended, but the sweetness never stops. 
Visit us at Doughbits after the concert for the perfect treat!
 ","A event related poster to encourage audience to visit doughbits after the concert
"
Location awarness,"The sweetest spot in London! 
Visit Doughbits at 551 Richmond 
A Place to satisfy your sweet tooth!
","A reel to make people aware of the Doughbits location
""Call me when Working on this""
"
Dough bit proposal,"Experts say Odds of getting rejected to this proposal is 0
","A creative of Doughbit placed in a Ring box, captioned "" Experts say Odds of getting rejected to this proposal is 0""
"
Chocolate Dough Bits,"Happy Chocolate Day  
Taste of Chocolate = Taste of Love
","A Video of Chocholate syrup being pored on doughbits in closeup . For the occation of chocolate day
"
Promise of Dough bits,"A Promise to make Everyday sweeter.
","A plate of Dough bits cut in half and the other half shows the text 
"
Tag a friend,"Tag your sweet-tooth buddy. To join for some doughbits and Boba!
","A Doughbits Creative on encouraging followers to tag a friend
"
valentine wishes,"From points to plates, just like that!
Tastes even better when it's practically free!

","A Creative on Wishing everyone Happy valentine's day 



"
TV Doughbits,"Never have I ever said No to doughbits
","A post of doughbits in a close up and text saying 'never have I ever said no to Doughbits'
"
Dough bits Menu,"Why same plain doughbits?
choose the flavour, you are craving for
","A creative on Showing all the Doughbits flavours in one Frame
"
Student Discounts ,"Are you a student? Your next meal just got cheaper . Show your ID for amazing discounts

","A Reel on introducing studen offers . 10% discount if they show ID card
Use real footage 

"
Kids doughbits,"What's stopping you?
Bring your kids for a doughbits treat!
 
","A creative on How kids Love Doughbits. 
"
Women's Day offers ,"Celebrate this Women's Day with us!
","A post saying about the Offers on the  Women's Day.
"
Pancakes,"Delicious Content Alert !!
This Image contains Cravable content Which, everyone might find Irresistable
","A cravable creative on Pancakes
"
London Knights ,"Hockey Game?
Fuel Up with Doughbits Before the Big Game.
Go Knights Go!
","A post Related to LondonKnights Team
"
Tariffs War Poster,"Taste our Doughbits!
So Delicious ,That Trump himself forgets the Tariff wars
Proudly 100% Canadians only
","Bringing you the best in every bite, every time."
Pistacchio Doughbits,"Doughbits are the perfect sweet fix after a beer. 
Happy St.Patrick's Day
","A craving creative of Pistachio Doughbits
"
Google review,"Olivia said :
I just had the most amazing first experience at dough bits, not only is the atmosphere inviting and uplifting the staff is outstanding.
I will definitely be back

","A Post showing one of the 5 star Google review
"
Happiness day,"Happy International Day of Happiness!
","A post on doughbit's Wishing happiness day!
"
Menu of Cheesecakes,"Taste the Cheesecakes that melt!!
","A post Showing all the flavours of cheesecakes that Doughbits have!
"
Order Now!!,"Good Food is never too far! 

Order from your nearest location.
","Our commitment to freshness and quality ensures that every bite is as satisfying as the last. Wherever you are, great food is just a click away!"
Kids love Doughbits ,"Craving a Mocktail magic? Dont wait! Get yours today.
",Don’t wait—order now and let the refreshing flavors of our mocktails work their magic on you. Cheers to a delightful sip!
Door Hanger,"Visit Us Now! Get
15 % OFF
Don't Miss out ! 
Only for Dine-In
","Craving a delicious meal? Head over to our location and enjoy a fantastic 15% discount on your dine-in experience! This exclusive offer is available only for dine-in guests, so don't miss out on the chance to enjoy your favorite dishes at a great price. Hurry, the magic is waiting for you at our door – your table is ready!"
Delicious Curry Special,"Savor aromatic curries, crave more taste.",Creative to be designed featuring a mouth-watering image of the curry.
Sizzling Kebabs,Sensational grilled kebabs!,Creative to be designed portraying perfectly grilled kebabs served here.
Taste the Tradition,Tradition meets culinary artistry here!,"An animated video to be curated highlighting few items from the menu.
"
Tantalizing Biryani Varieties,"Savor diverse biryani selection, enjoy flavorful journey.",An animated video to be curated showcasing different types of Biryanis served.
      Memorable events with Our services,"Surpassing expectations, impeccable catering services offered.","Creative to be designed Highlighting the variety of dishes offered and the personalized service provided.
"
 Naans That Melt in your Mouth,Naan-Cravings Sorted!,An animated video to be showcasing naans being cooked and served hot.
Kebab Feast,Kebabs That Melt in Your Mouth!,"A creative to be designed presenting the delectable range of kebabs available
"
           Savor the Flavors,Taste Symphony: Adventure in every bite!,"Taste Symphony: Adventure in Every Bite!"" is a captivating tagline that evokes the idea of a culinary journey where each dish offers a new and exciting experience. This phrase is often used by restaurants and food establishments to highlight their diverse and flavorful offerings. For instance, The Symphony - Restaurant in Hyderabad, known for its Asian, Chinese, and Italian cuisines, embraces this concept by serving dishes that promise a delightful adventure for the taste buds."
Post,Fake Recipie,"Oops! We Leaked Our Secret Recipe!


The Secret DoughBits Recipe – Finally Exposed!

Ingredients:
1 cup of laughter
½ tsp of childhood nostalgia
A sprinkle of magic
Bake at 100°F of happiness

Warning: Side effects may include uncontrollable cravings & instant happiness!
	-Bhavana"
Post,Pistachio Cheesecake ,"New Flavors
New Cravings 

Pistachio Cheesecake
	-Bhavana"
Reel,Mocktail_Click,"Magic in a glass!

Boba Milk Tea
	-Bhavana"
Reel,Making Video,"Tag a friend whose name starts with 'D'

They officially owe you a Doughbits feast!
	-Bhavana"
Post,Pancakes Alert,"Already done
	-Bhavana"
Reel,Pov : Kids Video,"Already done
	-Bhavana"
Post,Franchising to Ottawa ,"Franchise the Flavor.

Now open to Ottawa & Kingston.

We don’t just hand over The name 
We guide you every bite of the way.

Slide into our DMs to know more
	-Bhavana"
Carousal,All Cheesecakes,"Think you know All our cheesecake flavors? Think Again!

Swipe to find out!

Craving one? Visit or order today!
	-Bhavana"
Post,A social Media Challenge ,"Easter Egg Hunt is ON!


Tag us with all 3 eggs to win a surprise !
	-Bhavana"
Reel,Mini Chefs making Doughbits,"Not Needed
	-Bhavana"
Post,Waffle on Stick intoduction Post,"Crispy, sweet, and super slick

Waffle on a Stick — only at Doughbits.
	-Bhavana"
Reel,Double it Reel ,"Want a Cheesecake?
Or double it and give it to the next person? 

Double it And Give it to the next person ! 

Want 2 cheesecakes ?
	-Bhavana"
Logo Variation (R),"logo animation for the yellow color logo

Content on creative :

Unveiling the New Face of Consulttous: Where Vision Meets Innovation!
	-the brand chimp","An animated video to be curated showing a different color option for the logo - that is Yellow.
	-the brand chimp"
What We Do (R),"Providing entrepreneurs with everything needed to setup a successful business venture.
	-the brand chimp","A creative to be designed describing the company's role with a liner added to it.
	-the brand chimp"
Corporate Taxes,"same as reference
	-the brand chimp","A creative explaining how to deal with corporate taxes shall be posted.
	-the brand chimp"
One Stop Company Setup,"One Stop Company Setup

Smooth setup, from finding the right location to managing licensing fees.
	-the brand chimp","A creative to be designed highlighting the benefits of signing up with the company.
	-the brand chimp"
Investments In Dubai,"Benefits Of Investing In Dubai

- Expanding Consumer Base
- Dubai Has No Property Taxes
- Continuous Economic Growth
	-the brand chimp","An animated video to be curated that highlights the benefits to collaborate with the company.
	-the brand chimp"
Personalized Services,"With a client centric approach, we prioritize personalized services and tailored solutions.
	-the brand chimp","Presenting the personalized services being offered along with tailored solutions for the same.
	-the brand chimp"
Customer Feedback,"Sai and his Team were extremely helpful in the company incorporation and setup. There service is seamless and well coordinated. Sai is very knowledgeable and understanding the local regulations and processes well. Thanks to Harsha for coordinating and helping on ground. Overall it has been a great experience!

Thank you ! And wish you all the best!

Hussain Mukaram
	-the brand chimp","A creative to be designed featuring one the reviews client has shared on Google.
	-the brand chimp"
Company Setup,"Company Formed In Four Easy Steps

- Understanding Your Business
- Register Your Business The Right Way
- Launch Of Your Venture
- Build Your Team

Contact Us Today!
	-the brand chimp","A creative showing how easily you can set your business with us.
	-the brand chimp"
Preferred Destination,"same as reference
	-the brand chimp","A creative which shows how Dubai is the hub for successful businesses.
	-the brand chimp"
Varied Service Providers,"Providing The Best Services

- Mainland
Unlock the full potential of the local market.

- FreeZone
Experience unparalleled business advantages.

- Off Shore
Expand global reach and safeguard assets.
	-the brand chimp","An animated video to be designed highlighting the three main services offered.
	-the brand chimp"
Consultancy Providers,"https://www.shutterstock.com/image-photo/double-exposure-two-business-men-over-592686803
use this kind of image

Prominent UAE Business & Consultancy Provider
	-the brand chimp","A catchy liner to be added focusing on the topic mentioned.
	-the brand chimp"
Why Choose Us,"Why Choose Us?

We provide Complete Assistance and Transparent Costing, resulting in a hassle free process.
	-the brand chimp","Highlighting how we provide a hassle free process to all our clients.
	-the brand chimp"
Business Support,"same as reference
	-the brand chimp","Creative designed few other services provided for your business to function flawlessly.
	-the brand chimp"
UAE Presence,"Serving Complete UAE

- Abu Dhabi
- Dubai
- Sharjah
- Umm Al Qaiwain
- Fujairah
- Ajman
- Rash Al Kahimah

Catering to the diverse needs of entrepreneurs and companies.
	-the brand chimp","An animated video showing how the services are being catered all over UAE.
	-the brand chimp"
Prioritizing Clients,"Simplifying & Guiding Clients
At Every Step!
	-the brand chimp","A creative designed with a catchy liner added to it.
	-the brand chimp"
Business Setup,"Five reasons for Business Setup in Dubai?

- Many Big Opportunities
- Corporate Tax 
- 100% Foreign Ownership 
- Strategic Location 
- Great Infrastructure 

Some of the main core reasons of setting up your own business.
	-the brand chimp","A creative to be designed highlighting five core points for setting your business in UAE.
	-the brand chimp"
Heavenly Bites,"same as reference
caption as well

item name; Chicken Burger
	-the brand chimp
----
same as reference
	-the brand chimp
----
Item name :
BLUE BERRY soda

delete the entire content

Blueberry Bliss: Sip, Savor, and Boost!
Benefit: Packed with antioxidants- rich, natural goodness in every sip.
	-the brand chimp
----
same as reference

Embrace spring's bloom and fading sun, savor serene moments with a hot drink at ONE TWO TEA.

Savor the spring blooms and fading sun with soothing moments at ONE TWO TEA.





one two tea+ green tea+ Lemon tea
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference
caption same as reference

Item names:
WATER MELON MOJITO
GREEN APPLE MOJITO

delete Natural Variyali
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference
remove grilled and write fried
remove the first line and add item name:
CHICKEN WINGS
second line: same as reference.
remove order now as well.
	-the brand chimp
----
same as reference
item name:
Tandoori Chicken Zinger Burger

if the same reference is disapproved by sir then use this:

Flavorful Bliss in Every Bite
	-the brand chimp
----
same as reference

OREO SHAKE
	-the brand chimp
----
Items:

GINGER TEA
MASALA TEA
BADAM TEA

remove the entire content out there in the reference 
just add this caption :
Milk tea party
	-the brand chimp
----
item name: Green Amla Mint
	-the brand chimp
----
same as reference
one two tea cup
	-the brand chimp
----
same as reference
Treat your dad on Father's Day
	-the brand chimp
----
items
CHILLI CHEESE MAGGI

delete world emoji day
	-the brand chimp
----
caption:

Summertime Bliss: Snacks, Sips, and Sunshine!

Items:
Masala Tea
Zinger chicken Burger
Cheese Balls
Mango  Lassi
Cold Badam Milk 
Strawberry Shake
	-the brand chimp
----
same as reference 
caption same as reference

Items:
VIRGIN MOJITO
ORANGE MOJITO
	-the brand chimp
----
items:

DRY FRUIT LASSI
DRY FRUIT PREMIUM MILKSHAKE
	-the brand chimp
----
same as reference

Items:
CHICKEN WINGS
KARAMPODI PANEER POPCORN
FRENCH FRIES
	-the brand chimp
----
same as reference
	-the brand chimp
----
SCHEZWAN MAGGI
CHEESE BALLS
CHICKEN BURGER
	-the brand chimp
----
same as reference

Item:
CHOCOLATE COLD COFFEE
	-the brand chimp
----
same as reference
	-the brand chimp
----
check both the reference
check with me once before doing
Enjoy French Fries, Chicken Popcorn, Chicken Strips and Rain
items:
CHICKEN POPCORN
FRENCH FRIES
CHICKEN STRIPS
	-the brand chimp
----
caption: 

It's Snack Time!

same as reference

Items:
CHILLI CHEESE CHICKEN MAGGI
CHICKEN STRIPS
MASALA SODA
	-the brand chimp
----
same as reference
item name: VEG NUGGETS
	-the brand chimp
----
same as reference
Item: OREO MILKSHAKE

delete this line..its not just a shake,its

only this caption belowthe dotted line
A Glass Full of Goodness
	-the brand chimp
----
same as reference
	-the brand chimp
----
caption: same as reference
items:
PERI PERI FRENCH FRIES
VEG BURGER
WATERMELON MOJITO
	-the brand chimp
----
item name: Green Amla Mint
	-the brand chimp
----
same as Reference
caption:
""Chai-derful Mom Deserves the Best Brew on Mother's Day!""
	-the brand chimp
----
same as reference

Item names:

Ginger Tea
Masala Tea
Elachi Tea
Bellam Tea
Badam Tea
	-the brand chimp
----
same as reference..

instead of chaibar bar 
write One Two Tea
	-the brand chimp
----
same as reference

remove the list given and add..

FILTER..
INSTANT..
BLACK..
COLD COFFEE..
	-the brand chimp
----
same as reference

TEA IS ALWAYS 
A GOOD IDEA

Item : Pepper Tea.
	-the brand chimp
----
Soda HAR-BAR

CHOOSE YOUR SODA- BUDDY

BLUEBERRY -PERI PERI FRENCH FRIES
ORANGE -PANEER POPCORN
MASALA -CHICKEN STRIPS

replace Chai with Soda
	-the brand chimp
----
same as reference

GREEN TEA
TULASI TEA
GREEN AMLA MINT TEA
HIBISCUS TEA
	-the brand chimp
----
same as reference

Chicken Lollipop
Peri Peri french fries
Virgin Mojito
	-the brand chimp
----
same as reference

French fries
veg Nuggets
Cheese Balls
and an elements of sauce and cheese beside..

remove newest super meal..
	-the brand chimp
----
same as reference

Peri Peri Chicken Burger
Zinger Chicken Burger
Chicken Burger
	-the brand chimp
----
same as reference

Sad me + One Two Tea ki special chai = Happy me
	-the brand chimp
----
same as reference
	-the brand chimp
----
same as reference

Item Name:
HIBISCUS TEA
GREEN TEA
	-the brand chimp
----
same as reference

Item Name: Lemon Tea
	-the brand chimp
----
same as reference,

Summer Drinks to #BeatTheHeat

Item names:

Mango Mojito: Sweet, Fruity, Mango Sip!
Green Apple Mojito: Refreshing, Chill, Green Sip!
Strawberry Mojito: Sparkling, Spritzer, Berry Sip!
Virgin Mojito: Refreshing, Tart, Mojito Sip!
Watermelon Mojito: Blend, Squeeze, Sip!
Blue Ocean Mojito: Tropical, Calming, Oceanic!
	-the brand chimp","Experience heaven in every bite of Chicken Burger is featured in this creative.
	-the brand chimp
----
An animated video featuring Blueberry soda and its benefits.
	-the brand chimp
----
A creative to be designed wishing our audience Happy Doctor's Day!
	-the brand chimp
----
A soothing video featuring hot beverages for the monsoon
	-the brand chimp
----
Here is a creative take on your definition of tea
	-the brand chimp
----
A creative featuring how mojitos make good times great.
	-the brand chimp
----
A creative illustrating how to enjoy this MONSOON over a  CUP OF TEA in conversation with your Besties.
	-the brand chimp
----
A creative describing how French Fries at One two tea  is the all-time best snack for your cravings.
	-the brand chimp
----
A creative to be designed featuring Chicken Wings and posted with a catchy liner added to it.
	-the brand chimp
----
A creative is designed describing how to kill the hunger with delicious Tandoori Chicken Zinger Burger
	-the brand chimp
----
A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
	-the brand chimp
----
A creative designed featuring three varieties of Milk Tea.
	-the brand chimp
----
A creative to be designed featuring CHILLI CHEESE MAGGI and a catchy liner added to it.
	-the brand chimp
----
A creative to be designed wishing our audience Happy Father's Day!
	-the brand chimp
----
An animated video to be curated featuring six varieties of items from the menu.
	-the brand chimp
----
Here's a video celebrating endless moments together with our mocktails
	-the brand chimp
----
Animated video featuring dry fruit as a milkshake and a Lassi
	-the brand chimp
----
A creative to be designed featuring the three TidBits -kodi chips, Chicken wings & 
Karampodi Paneer Popcorn
served as a combo.
	-the brand chimp
----
A creative is designed featuring the mentioned snack.
	-the brand chimp
----
Creative designed to choose from the variety of items.
	-the brand chimp
----
A creative is designed showing how to elevate your weekend with Chocolate cold coffee.
	-the brand chimp
----
an animated video to be curated depicting cups of positivity.
	-the brand chimp
----
.
	-the brand chimp
----
A creative to be designed featuring Karampodi Paneer Popcorn &
Paneer Burger for your tasty evenings.
	-the brand chimp
----
A creative to be designed featuring the three Thrills - Chicken  Maggi,
Chicken Strips &
Masala Soda served as a combo.
	-the brand chimp
----
A creative to be designed featuring veg Nuggets- an ideal snack.
	-the brand chimp
----
A creative to be designed featuring the mentioned shake and posted with a catchy liner added to it.
	-the brand chimp
----
A creative that illustrates the variety of flavoured teas.
	-the brand chimp
----
A creative is designed describing Peri Peri French Fries, Veg Burger and watermelon Mojito -the ultimate trio.
	-the brand chimp
----
Same as reference
	-the brand chimp
----
A creative designed depicting good book with a cup of tea. 
The perfect duo for a cozy, relaxing escape.""
	-the brand chimp
----
A creative to be designed wishing  our audiences a Happy Mother's Day!
	-the brand chimp
----
An animated video to be curated featuring varities of chai.
	-the brand chimp
----
A creative to be designed reminding the audience a quick Coffee break to savor the rich, aromatic flavor of our favorite brew
	-the brand chimp
----
A creative that illustrates how Chai is always a good idea .
	-the brand chimp
----
A creative to be designed featuring 3 Snacks with Refreshing sodas and a catchy liner added to it
	-the brand chimp
----
An animated video to be curated featuring all the Herbal Tea served.
	-the brand chimp
----
A creative to be designed featuring the mentioned snack and posted with a catchy liner added to it.
	-the brand chimp
----
A creative to be designed featuring the three TidBits -French fries, Veg Nuggets, Cheese Balls served as a  combo.
	-the brand chimp
----
An animated video to be curated showcasing the deliciousness of our Burgers.
	-the brand chimp
----
One cup of one two tea ki Chai is all it takes to make you feel completely happy,
	-the brand chimp
----
A creative is made to discover the magic of tea as the ultimate mood lifter for all your problems.
	-the brand chimp
----
A creative will be created that demonstrates how Tea lovers can unwind with our energising tea.
	-the brand chimp
----
A creative to be designed how chai boost to kickstart your day to revitalize your mind and body!
	-the brand chimp
----
An animated video to be curated to stay cool this summer with our most delicious and refreshing mocktails with a catchy caption added to it.
	-the brand chimp"
Monsoon Special (R),"same as reference 

delete jhuri pakoda and mention

MONSOON MADNESS

item:
PANEER POPCORN
GINGER LEMON TEA
	-the brand chimp","Make your monsoon flavourful with our Panner pakoda with ginger lemon tea.
	-the brand chimp"
Breakfast Calling,"same as reference  ( 1st Link)
delete your breakfast and write
Your Morning Tea

and delete time 7 and write 

5:59am 
item name: Masala Tea

for content can chk once the second link
	-the brand chimp","An animated video showcasing our delicious breakfast offerings!
	-the brand chimp"
Savor Wellness,"same as reference
even the caption

delete the like fresh and real juice

item name 
MULBERRY Milkshake
	-the brand chimp","A creative designed featuring Mulberry Milkshake.
	-the brand chimp"
Independence Day,"Sip, Salute, and Celebrate
HAPPY 77th INDEPENDENCE DAY
	-the brand chimp","A creative to be designed wishing our audience Happy Independence  Day!
	-the brand chimp"
Recharge ,"same as reference

one two tea chai
	-the brand chimp","Recharge your mood with a one two tea ki chai
	-the brand chimp"
Fulfill your cravings now! (R),"same as reference.

Chicken Wings
	-the brand chimp","a creative is designed to Experience heart-skipping delight with our chicken Wings.
	-the brand chimp"
FRY-DAY Fun (R),"same as reference
	-the brand chimp","A creative designed  featuring  French fries !
	-the brand chimp"
